Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
1559,39.289673,-123.373718,212,CA,100,Quercus,alba,white oak,Plantae,2804,196,Full pollen release (angiosperms),2009,5,7,127,2454959,25,2009,10,13,286,2455118,-9999
1559,39.289673,-123.373718,212,CA,100,Quercus,alba,white oak,Plantae,2804,502,Pollen release (flowers),2009,5,7,127,2454959,25,2009,10,13,286,2455118,-9999
1559,39.289673,-123.373718,212,CA,100,Quercus,alba,white oak,Plantae,2804,502,Pollen release (flowers),2010,4,17,107,2455304,-9999,2010,6,4,155,2455352,-9999
6081,34.0312,-118.811821,32,CA,705,Quercus,agrifolia,California live oak,Plantae,15878,500,Flowers or flower buds,2011,12,15,349,2455911,6,2011,12,29,363,2455925,-9999
6081,34.0312,-118.811821,32,CA,705,Quercus,agrifolia,California live oak,Plantae,15878,501,Open flowers,2011,12,15,349,2455911,6,2011,12,29,363,2455925,-9999
6081,34.0312,-118.811821,32,CA,705,Quercus,agrifolia,California live oak,Plantae,15878,502,Pollen release (flowers),2011,12,20,354,2455916,5,2011,12,20,354,2455916,9
6213,34.156467,-118.73069,304,CA,704,Quercus,lobata,valley oak,Plantae,16385,500,Flowers or flower buds,2011,9,26,269,2455831,-9999,2011,9,26,269,2455831,8
5906,37.788403,-122.482101,20,CA,705,Quercus,agrifolia,California live oak,Plantae,14006,500,Flowers or flower buds,2012,5,1,122,2456049,39,2012,5,17,138,2456065,56
5906,37.788403,-122.482101,20,CA,705,Quercus,agrifolia,California live oak,Plantae,14006,501,Open flowers,2012,5,1,122,2456049,39,2012,5,17,138,2456065,56
5906,37.788403,-122.482101,20,CA,705,Quercus,agrifolia,California live oak,Plantae,14006,502,Pollen release (flowers),2012,5,1,122,2456049,39,2012,5,17,138,2456065,56
6020,37.78825,-122.482285,19,CA,705,Quercus,agrifolia,California live oak,Plantae,14981,500,Flowers or flower buds,2012,4,18,109,2456036,103,2012,6,10,162,2456089,15
6020,37.78825,-122.482285,19,CA,705,Quercus,agrifolia,California live oak,Plantae,14981,501,Open flowers,2012,5,3,124,2456051,3,2012,5,3,124,2456051,4
6020,37.78825,-122.482285,19,CA,705,Quercus,agrifolia,California live oak,Plantae,14981,501,Open flowers,2012,5,13,134,2456061,6,2012,6,10,162,2456089,15
6020,37.78825,-122.482285,19,CA,705,Quercus,agrifolia,California live oak,Plantae,14981,502,Pollen release (flowers),2012,5,3,124,2456051,3,2012,5,3,124,2456051,4
6020,37.78825,-122.482285,19,CA,705,Quercus,agrifolia,California live oak,Plantae,14981,502,Pollen release (flowers),2012,5,13,134,2456061,6,2012,5,22,143,2456070,7
6020,37.78825,-122.482285,19,CA,705,Quercus,agrifolia,California live oak,Plantae,14982,500,Flowers or flower buds,2012,4,18,109,2456036,103,2012,5,7,128,2456055,6
6020,37.78825,-122.482285,19,CA,705,Quercus,agrifolia,California live oak,Plantae,14982,501,Open flowers,2012,5,3,124,2456051,3,2012,5,3,124,2456051,4
6020,37.78825,-122.482285,19,CA,705,Quercus,agrifolia,California live oak,Plantae,14982,502,Pollen release (flowers),2012,5,3,124,2456051,3,2012,5,3,124,2456051,4
6022,37.788433,-122.470154,47,CA,705,Quercus,agrifolia,California live oak,Plantae,14987,500,Flowers or flower buds,2012,6,25,177,2456104,13,2012,6,25,177,2456104,4
6022,37.788433,-122.470154,47,CA,705,Quercus,agrifolia,California live oak,Plantae,14988,500,Flowers or flower buds,2012,4,26,117,2456044,111,2012,4,26,117,2456044,7
6022,37.788433,-122.470154,47,CA,705,Quercus,agrifolia,California live oak,Plantae,14988,500,Flowers or flower buds,2012,5,8,129,2456056,5,2012,5,15,136,2456063,2
6022,37.788433,-122.470154,47,CA,705,Quercus,agrifolia,California live oak,Plantae,14988,500,Flowers or flower buds,2012,5,22,143,2456070,5,2012,5,22,143,2456070,21
6022,37.788433,-122.470154,47,CA,705,Quercus,agrifolia,California live oak,Plantae,14988,500,Flowers or flower buds,2012,6,25,177,2456104,13,2012,6,25,177,2456104,4
6022,37.788433,-122.470154,47,CA,705,Quercus,agrifolia,California live oak,Plantae,14988,501,Open flowers,2012,4,26,117,2456044,111,2012,4,26,117,2456044,7
6022,37.788433,-122.470154,47,CA,705,Quercus,agrifolia,California live oak,Plantae,14988,501,Open flowers,2012,6,25,177,2456104,13,2012,6,25,177,2456104,4
6054,34.145714,-118.960732,271,CA,705,Quercus,agrifolia,California live oak,Plantae,15592,500,Flowers or flower buds,2012,4,9,100,2456027,3,2012,5,25,146,2456073,10
6054,34.145714,-118.960732,271,CA,705,Quercus,agrifolia,California live oak,Plantae,15592,501,Open flowers,2012,4,16,107,2456034,4,2012,4,17,108,2456035,2
